ISLAND DIAMETER REPORT
Generated on: Wed Feb 18 20:36:09 2026
-------------------------------------------------------------------------------------
Island File                    | Size   | Diameter   | Furthest Pair
-------------------------------------------------------------------------------------
islands/island_1.txt           | 86268  | 67         | underlain <-> bonninesses
islands/island_6074.txt        | 60     | 11         | tortoise <-> doghole
islands/island_2989.txt        | 59     | 9          | vocalized <-> royalized
islands/island_909.txt         | 53     | 14         | undulated <-> adulates
islands/island_2110.txt        | 51     | 13         | disbars <-> disbarred
islands/island_1010.txt        | 45     | 9          | oleographs <-> typograph
islands/island_1748.txt        | 45     | 15         | outdueled <-> outspeeds
islands/island_8384.txt        | 44     | 13         | denotations <-> depilation
islands/island_189.txt         | 43     | 10         | disbursed <-> misplayed
islands/island_1770.txt        | 43     | 15         | outfinding <-> outsmarting
islands/island_4195.txt        | 43     | 8          | overswearing <-> overtaxing
islands/island_1229.txt        | 41     | 8          | carnalisms <-> tantalizers
islands/island_2478.txt        | 40     | 11         | septorias <-> sensoria
islands/island_3018.txt        | 39     | 6          | formulism <-> normalizers
islands/island_6462.txt        | 38     | 8          | egoism <-> erotema
islands/island_6548.txt        | 38     | 10         | salutation <-> resolutions
islands/island_706.txt         | 37     | 12         | unweariably <-> unfillable
islands/island_852.txt         | 37     | 17         | zooperies <-> sockeyes
islands/island_1135.txt        | 35     | 10         | cardphones <-> ranpike
islands/island_4716.txt        | 35     | 15         | exotropias <-> isotropy
islands/island_1625.txt        | 34     | 8          | concertinos <-> convoking
islands/island_2311.txt        | 34     | 14         | jellified <-> ovality
islands/island_7493.txt        | 34     | 9          | marksmen <-> placemats
islands/island_15114.txt       | 34     | 5          | liberalist <-> lateralizes
islands/island_965.txt         | 32     | 7          | gallabiyehs <-> galatea
islands/island_2413.txt        | 32     | 6          | dispraisers <-> disprized
islands/island_5048.txt        | 32     | 8          | cataplasm <-> databusses
islands/island_6825.txt        | 32     | 6          | wantonized <-> canoeists
islands/island_9569.txt        | 32     | 8          | synthetizers <-> synthase
islands/island_4036.txt        | 31     | 8          | monopolism <-> gonopod
islands/island_6518.txt        | 31     | 13         | undergo <-> undertaxed
islands/island_1937.txt        | 30     | 9          | foresails <-> fornenst
islands/island_1958.txt        | 30     | 9          | windsocks <-> ingan
islands/island_2102.txt        | 30     | 11         | wauchted <-> doughier
islands/island_2714.txt        | 30     | 10         | baraesthesias <-> esthete
islands/island_3645.txt        | 30     | 6          | rationalizers <-> notionalist
islands/island_5469.txt        | 30     | 6          | preconised <-> recognizors
islands/island_42.txt          | 28     | 9          | fluerics <-> fibroids
islands/island_4576.txt        | 28     | 5          | decolourises <-> recolonize
islands/island_7100.txt        | 28     | 8          | calvities <-> falsities
